tempat,alamat,jarak,harga,tema,tipe
Nongsa Point Marina,"Jl. Hang Lekiu, Sambau, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29466",22,250000,Pantai,Outdoor
Ocarina Park,"Sadai, Bengkong, Batam City, Riau Islands 29444",5,0,Taman,Outdoor
Pantai Viovio,"Sijantung, Galang, Batam City, Riau Islands 29485",58,50000,Pantai,Outdoor
Mangrove Pandang Tak Jemu,"l. Hang Lekiu No.KM.4, Sambau, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29465",25,30000,Hutan,Outdoor
Waterfront City,"Tj. Riau, Kec. Sekupang, Kota Batam, Kepulauan Riau",24,25000,Pantai,Outdoor
Pantai Melayu,"Jalan Trans Barelang, Bulang, Rempang Cate, Galang, Kota Batam, Kepulauan Riau 29482",44,50000,Pantai,Outdoor
Jembatan Barelang,"Jl. Trans Barelang, Pulau Setokok, Kec. Bulang, Kota Batam, Kepulauan Riau 29472",22,0,Bangunan,Outdoor
Lagoi Bay,"Sebong Lagoi, Teluk Sebong, Bintan Regency, Riau Islands",65,50000,Pantai,Outdoor
Laguna,"Jalan Teluk Berembang Laguna Bintan Resort, Lagoi 29155",65,50000,Bukit,Outdoor
Ria Bintan,"Jl. Perigi Raja, Lagoi North Bintan, Sebong Lagoi, Kec. Tlk. Sebong, Kabupaten Bintan, Kepulauan Riau 29152",66,50000,Bukit,Outdoor
Kampung Vietnam,"Sijantung, Galang, Kota Batam, Kepulauan Riau 29485",50,10000,Bangunan,Outdoor
Bukit Dangas,"Ir. Sutami, Tanjung Pinggir, Sekupang, Tebing Langit ",18,25000,Bukit,Outdoor
Telaga Biru,"Tiban Lama, Sekupang, Batam City, Riau Islands 29424",17,10000,Hutan,Outdoor
Miniatur House Indonesia,"Tanjung Buntung, Bengkong, Batam City, Riau Islands 29444",6,0,Bangunan,Outdoor
Patung Seribu,"Jl. Asia Afrika, Batu IX, Kec. Tanjungpinang Tim., Kota Tanjung Pinang, Kepulauan Riau 29125",91,150000,Bangunan,Outdoor
Vihara Dharma Santi,"South Tanjung Uban, North Bintan, Bintan Regency, Riau Islands 29152",38,10000,Bangunan,Outdoor
Masjid Sultan Mahmud Riayat Syah,"Tanjung Uncang, Batu Aji, Batam City, Riau Islands 29425",22,0,Bangunan,Indoor
Museum Raja Ali Haji,"Jl. Engku Putri Utara No.1, Tlk. Tering, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29432",1,0,Bangunan,Indoor
Taman Rusa,"Tanjung Pinggir, Sekupang, Batam City, Riau Islands 29425",18,12000,Taman,Outdoor
Engku Putri Center,"Jl. Engku Putri, Tlk. Tering, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444",1,0,Bangunan,Outdoor
Kebun Raya Batam,"Jl. Hang Lekiu, Sambau, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29465",22,0,Taman,Outdoor
Alun Alun Batam,"Jl. Engku Putri, Tlk. Tering, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444",1,0,Bangunan,Outdoor
Bale Bale,"Sambau, Kecamatan Nongsa, Kepulauan Riau 29465",25,20000,Pantai,Outdoor
Pantai Marina,"Tj. Riau, Kec. Sekupang, Kota Batam, Kepulauan Riau 29432",20,6000,Pantai,Outdoor
Pantai Sekilak,"Batu Besar, Nongsa, Batam City, Riau Islands 29466",16,9000,Pantai,Outdoor
Pantai Melur,"Sijantung, Pulau Galang, Batam City, Riau Islands 29485",57,20000,Pantai,Outdoor
Pantai Tanjung Pinggir,"Tanjung Pinggir, Sekupang, Batam City, Riau Islands",20,10000,Pantai,Outdoor
Pantai Mirota,"Pulau Galang, Batam, Sijantung, Galang, Kota Batam, Kepulauan Riau 29485",53,10000,Pantai,Outdoor
Habibie 1000 Tangga,"Tanjung Pinggir, Sekupang, Batam City, Riau Islands",18,10000,Taman,Outdoor
Bukit Senyum,"Kampung Seraya, Batu Ampar, Batam City, Riau Islands 29444",8,0,Bukit,Outdoor
Pantai Dangas,"Tanjung Pinggir, Sekupang, Batam City, Riau Islands",17,10000,Pantai,Outdoor
Pulau Galang,"Pulau Galang, Batam, Sijantung, Galang, Kota Batam, Kepulauan Riau 29485",69,0,Bukit,Outdoor
Pantai Sekotok,"Pulau Setokok, Kec. Bulang, Kota Batam, Kepulauan Riau 29475",29,10000,Pantai,Outdoor
Pulau Abang,"Pulau Abang, Batam",0,0,Bukit,Outdoor
Pantai Tanjung Bemban,"Batu Besar, Nongsa, Batam City, Riau Islands 29466",17,7000,Pantai,Outdoor
Turi Resorts,"Jl. Hang Lekiu, Sambau, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29465",21,350000,Bangunan,Outdoor
Kantor Walikota,"Jl. Engku Putri No.1, Tlk. Tering, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29432",0,0,Bangunan,Outdoor
Vihara Duta Maitreya,"Sungai Panas, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29432",3,0,Bangunan,Indoor
Masjid Agung Batam,"l. Engku Putri, Tlk. Tering, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444",0,0,Bangunan,Outdoor
Kampung Tua,"Kabil, Nongsa, Batam City, Riau Islands 29467",13,0,Bangunan,Outdoor
Pantai Elyora,"Galang Baru, Galang, Batam City, Riau Islands 29487",76,10000,Pantai,Outdoor
Pantai Tanjung Kelingking,"Rempang Cate, Galang, Batam City, Riau Islands",39,10000,Pantai,Outdoor
Bukit Harimau,"Tanjung Pinggir, Sekupang, Batam City, Riau Islands",17,20000,Bukit,Outdoor
Pantai Dugong,"Kijang Kota, Bintan Tim., Kabupaten Bintan, Kepulauan Riau 29151",82,10000,Pantai,Outdoor
Pantai Tebing,"Tanjung Uma, Lubuk Baja, Batam City, Riau Islands 29445",11,10000,Pantai,Outdoor
Pantai Tanjung Uma,"Tanjung Uma, Lubuk Baja, Batam City, Riau Islands",11,9000,Pantai,Outdoor
Pulau Takong,"Pulau Takong Kecil, Batam City, Riau Islands",0,0,Bukit,Outdoor
Pantai Kerang,"Tanjung Riau, Sekupang, Batam City, Riau Islands",21,10000,Pantai,Outdoor
Bukit Tiban,"Tiban Lama, Sekupang, Batam City, Riau Islands",17,10000,Bukit,Outdoor
Pantai Piwang,"Batuampar, Batam, Kepulauan Riau",9,10000,Pantai,Outdoor
Bukit Daeng,"Tembesi, Sagulung, Batam City, Riau Islands 29433",11,0,Bukit,Outdoor
Agro Piknik Marina,"Tj. Riau, Kec. Sekupang, Kota Batam, Kepulauan Riau 29425",22,100000,Taman,Outdoor
Pantai Tanjung Buntung,Tj. Buntung,6,0,Pantai,Outdoor
Golden Prawn,"Tj. Buntung, Batam, Kota Batam, Kepulauan Riau 29444",6,0,Bangunan,Indoor
